rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|RAJWIL2,-4.4137102839380375,39.813902432961726,39.5684974249826,-0.09307168688811927,0.3141709770833681,-0,-0,420B06|RAJWIL,ESB
420B06|RIVERKY2,-3.8657672769306473,4.640145623878411,3.8657672769306473,-0.054076482741651194,0.054076482741651194,-0,-0,420B06|RIVERKY,ESB
420B06|RJDIST2,10.317196875813629,13.05471458073793,10.317196875813629,0.2516165865046207,0.2516165865046207,0,0,420B06|RJDIST,ESB
420B06|SBGCLMB2,-0.7813945857418645,19.48024744356157,19.464569426621296,-0.04495026544984129,0.20195173470092895,-0,-0,420B06|SBGCLMB,ESB
420B06|SBGCLVD2,32.32191458898966,35.17670852833853,32.32191458898966,0.17408665450815108,0.17408665450815108,0,0,420B06|SBGCLVD,ESB
420B06|SBMONT2,1.618318912383602,3.460282529391546,3.0585289079938267,0.050899303778814034,0.16168468805652364,0,0,420B06|SBMONT,ESB
420B06|SCHILL2,-0.9049441950306889,1.2135939286324542,0.9049441950306889,-0.06911718486938523,0.06911718486938523,-0,-0,420B06|SCHILL,ESB
420B06|SEBCOH2,-0.09423923927111844,0.9003400098543844,0.895394381893361,-0.0094244008244363,0.056551173919862335,-0,-0,420B06|SEBCOH,ESB
420B06|SEDTX2,-15.016762894391224,15.017311771261372,15.016762894391224,-0.3905086354692143,0.3905086354692143,-0,-0,420B06|SEDTX,ESB
420B06|SELIGMAN2,-0.18643082548525175,0.18692601422917282,0.18643082548525175,-1e38,1e38,-0,-0,420B06|SELIGMAN,ESB
420B06|SNCSTBV2,5.7397672649645575,11.23807144206232,9.66174526061094,0.10938376356970037,0.2662628833955557,0,0,420B06|SNCSTBV,ESB
420B06|SPDNJ2,-14.350859131138055,25.61894542799917,21.22223379008513,-0.9150417396196467,1.061241200448308,-0,-0,420B06|SPDNJ,ESB
420B06|STARCT2,0.494124029093161,4.074908480098836,4.044838756372638,0.006238428869328433,0.1753200825493035,0,0,420B06|STARCT,ESB
420B06|STGNARO2,13.342533564543984,16.95428633085298,13.342533564543984,0.20523562752261176,0.20523562752261176,0,0,420B06|STGNARO,ESB
420B06|STHEAGL2,-1.229917845707881,11.02961050395409,10.960821591547948,-0.06059955467672237,0.21030576615118493,-0,-0,420B06|STHEAGL,ESB
420B06|STOKES2,-1.519201045301557,1.53522150097002,1.519201045301557,-0.13810918593650517,0.13810918593650517,-0,-0,420B06|STOKES,ESB
420B06|SWBEVLA2,-2.6267430063458237,5.355115523240557,4.666635130998061,-0.5293241220356222,0.6862389008550251,-0,-0,420B06|SWBEVLA,ESB
